"","WINS","bt_H","bt_2B","bt_3B","bt_HR","bt_BB","bt_SO","br_SB","br_CS","ph_H","ph_HR","ph_BB","ph_SO","fd_E","fd_DP","bt_1B","BB"
"39",99,1603,333,32,152,462,805,117,51,1603,152,462,805,87,151,1086,1
"40",77,1473,276,33,150,476,838,129,61,1473,150,476,838,105,138,1014,1
"41",92,1603,272,37,162,450,942,143,46,1603,162,450,942,90,126,1132,1
"42",95,1520,278,30,147,447,848,161,57,1520,147,447,848,87,139,1065,1
"43",65,1353,235,46,159,489,1239,73,38,1353,159,489,1239,100,125,913,1
"44",100,1566,289,46,216,588,1045,137,39,1566,216,588,1045,104,129,1015,1
"45",85,1466,282,44,179,535,975,97,44,1466,179,535,975,107,138,961,1
"46",92,1494,284,35,208,587,1052,71,38,1494,208,587,1052,84,148,967,1
"47",98,1471,283,41,165,643,1016,92,46,1471,165,643,1016,89,116,982,1
"48",84,1467,303,47,152,531,1006,76,38,1467,152,531,1006,107,132,965,1
"49",51,1401,295,38,135,441,1022,53,32,1401,135,441,1022,139,144,933,1
"50",77,1419,291,27,191,606,1094,67,26,1419,191,606,1094,94,159,910,1
"51",76,1506,331,38,160,504,965,76,30,1506,160,504,965,104,172,977,1
"53",90,1673,222,56,21,134,227,235,78,3872,49,310,525,977,97,1374,0.432258064516129
"54",113,1890,246,100,11,176,327,337,200,5103,30,475,883,780,97,1533,0.370526315789474
"55",104,1703,266,98,39,174,428,290,171,3284,75,336,825,615,112,1300,0.517857142857143
"56",77,1502,258,79,39,203,426,315,200,2897,75,392,822,710,104,1126,0.517857142857143
"57",87,1587,220,96,29,258,471,315,200,3061,56,498,908,569,71,1242,0.518072289156627
"58",104,1670,345,142,56,203,699,283,96,2761,93,336,1155,631,83,1127,0.604166666666667
"59",107,1551,261,88,53,302,963,293,193,2264,77,441,1405,546,86,1149,0.684807256235828
"60",67,1323,208,77,32,275,755,555,201,1914,46,398,1092,644,91,1006,0.690954773869347
"61",78,1502,209,82,33,346,744,216,78,2080,46,479,1030,644,112,1178,0.722338204592902
"62",82,1680,248,126,71,455,525,499,171,2249,95,609,703,699,107,1235,0.747126436781609
"63",85,1430,202,108,68,341,633,354,96,1729,82,412,765,597,107,1052,0.827669902912621
"64",105,1583,248,68,53,596,570,419,201,2003,67,754,721,523,104,1214,0.790450928381963
"65",93,1486,213,76,38,646,627,347,96,1810,46,787,764,436,82,1159,0.820838627700127
"66",102,1484,212,94,63,625,632,339,200,1742,74,734,742,420,135,1115,0.85149863760218
"67",108,1705,224,63,82,705,367,305,96,2141,103,885,461,443,106,1336,0.796610169491525
"68",102,2035,334,115,126,657,320,296,96,2498,155,806,393,509,103,1460,0.815136476426799
"69",88,1693,244,70,67,618,292,246,78,2094,83,764,361,450,133,1312,0.808900523560209
"70",92,1751,216,92,45,512,339,298,201,2165,56,633,419,455,96,1398,0.808846761453397
"71",114,1932,282,102,55,519,322,286,96,2371,68,637,395,334,129,1493,0.814756671899529
"72",111,1665,207,60,58,440,329,187,76,1810,63,478,358,325,145,1340,0.920502092050209
"73",101,1617,190,96,42,459,287,197,163,1723,45,489,306,314,145,1289,0.938650306748466
"74",77,1647,191,80,56,464,326,214,163,1933,66,545,383,318,101,1320,0.851376146788991
"75",86,1393,168,46,17,471,569,223,97,1647,20,557,673,279,106,1162,0.845601436265709
"76",68,1344,207,55,29,467,689,187,74,1578,34,548,846,412,104,1053,0.852189781021898
"77",58,1289,162,53,25,335,635,151,127,1365,26,355,645,358,96,1049,0.943661971830986
"78",54,1280,156,55,18,318,558,139,58,1346,19,335,615,327,94,1051,0.949253731343284
"79",53,1196,146,46,17,382,532,100,70,1283,18,410,612,362,109,987,0.931707317073171
"80",63,1338,155,67,24,452,608,129,47,1465,26,495,656,273,140,1092,0.913131313131313
"81",66,1292,144,45,18,436,548,141,91,1359,19,459,555,265,95,1085,0.949891067538126
"82",48,1187,131,46,16,424,645,143,96,1257,17,449,609,360,107,994,0.944320712694877
"83",56,1334,183,52,33,380,572,161,127,1412,35,402,606,323,145,1066,0.945273631840796
"84",47,1520,267,58,40,594,619,181,92,1631,43,637,664,372,118,1155,0.932496075353218
"85",55,1551,240,72,37,481,731,145,66,1642,39,509,774,312,137,1202,0.944990176817289
"86",74,1414,205,64,34,524,687,190,166,1517,36,562,737,293,88,1111,0.932384341637011
"87",100,1384,226,64,37,532,653,147,90,1465,39,563,691,251,151,1057,0.9449378330373
"88",88,1299,246,61,18,585,661,129,104,1384,19,623,704,227,123,974,0.93900481540931
"89",76,1355,179,79,23,452,622,164,99,1435,24,479,659,237,129,1074,0.943632567849687
"90",69,1325,140,77,17,457,572,108,47,1731,22,597,747,240,116,1091,0.765494137353434
"91",66,1400,165,72,28,414,561,169,125,1632,33,483,654,238,129,1135,0.857142857142857
"92",66,1447,179,92,25,410,520,94,104,1542,27,437,554,255,133,1151,0.938215102974828
"93",84,1653,221,106,65,399,498,100,106,1750,69,422,527,211,129,1261,0.945497630331754
"94",56,1435,172,77,34,410,478,71,69,1519,36,434,506,228,128,1152,0.944700460829493
"95",57,1531,224,61,34,451,425,60,84,1611,36,474,447,242,165,1212,0.951476793248945
"96",56,1435,205,55,26,375,478,78,72,1519,28,397,506,178,163,1149,0.944584382871537
"97",74,1659,275,74,43,429,402,82,76,1757,46,454,426,234,154,1267,0.944933920704846
"98",70,1539,223,66,17,454,371,86,57,1640,18,484,395,222,160,1233,0.93801652892562
"99",63,1576,227,64,39,364,382,105,61,1658,41,383,402,243,137,1246,0.950391644908616
"100",53,1524,255,43,55,473,399,64,55,1614,58,501,422,204,149,1171,0.944111776447106
"101",59,1558,265,81,35,429,454,68,58,1639,37,451,478,215,154,1177,0.951219512195122
"102",74,1581,259,82,69,349,418,73,91,1663,73,367,440,187,176,1171,0.950953678474114
"103",67,1438,232,62,36,387,452,48,63,1513,38,407,475,176,148,1108,0.950859950859951
"104",81,1536,276,56,66,365,522,38,70,1616,69,384,549,160,153,1138,0.950520833333333
"105",87,1389,228,59,57,343,450,26,48,1461,60,361,473,137,156,1045,0.950138504155125
"106",84,1566,250,47,89,402,472,32,34,1680,95,431,506,181,129,1180,0.932714617169374
"107",40,1478,247,35,79,374,462,21,39,1565,84,396,489,209,107,1117,0.944444444444444
"108",75,1525,218,47,70,455,612,24,54,1604,74,479,644,199,184,1190,0.949895615866388
"109",84,1348,213,44,67,517,754,48,51,1437,71,551,804,167,136,1024,0.938294010889292
"110",68,1497,213,42,60,393,530,44,55,1606,64,422,569,194,191,1182,0.931279620853081
"111",69,1456,233,53,63,428,619,51,58,1552,67,456,660,195,180,1107,0.93859649122807
"112",65,1331,230,21,74,519,555,54,35,1457,81,568,608,152,151,1006,0.913732394366197
"113",72,1284,214,38,41,497,645,59,42,1360,43,526,683,188,147,991,0.944866920152091
"114",68,1366,263,41,83,480,535,39,36,1437,87,505,563,191,168,979,0.95049504950495
"115",71,1549,244,27,108,554,544,87,30,1651,115,590,580,206,171,1170,0.938983050847458
"116",86,1458,252,51,47,591,496,64,40,1544,50,626,525,179,137,1108,0.94408945686901
"117",90,1519,279,44,89,587,526,61,50,1598,94,617,553,161,130,1107,0.951377633711507
"118",96,1544,288,52,101,710,568,46,45,1635,107,752,601,151,140,1103,0.944148936170213
"119",79,1447,259,35,108,720,690,29,40,1522,114,757,726,157,151,1045,0.95112285336856
"120",87,1484,259,38,156,647,648,75,73,1561,164,681,682,191,154,1031,0.95007342143906
"121",80,1457,246,39,137,594,649,84,36,1533,144,625,683,153,165,1035,0.9504
"122",68,1285,198,33,116,511,753,61,36,1361,123,541,797,162,151,938,0.944547134935305
"123",94,1467,228,43,146,495,651,57,33,1543,154,521,685,122,180,1050,0.950095969289827
"124",89,1449,230,58,191,530,773,44,28,1524,201,558,813,160,163,970,0.949820788530466
"125",100,1545,232,65,209,485,767,37,17,1625,220,510,807,126,182,1039,0.950980392156863
"126",89,1481,224,37,184,507,794,43,15,1538,191,527,825,128,143,1036,0.962049335863378
"127",93,1465,208,50,179,487,834,73,39,1541,188,512,877,146,144,1028,0.951171875
"128",87,1436,209,36,198,562,926,74,45,1511,208,591,974,117,160,993,0.95093062605753
"129",86,1376,204,38,181,581,975,57,27,1376,181,581,975,123,154,953,1
"130",84,1345,204,39,139,525,954,75,52,1345,139,525,954,129,161,963,1
"131",88,1522,274,32,159,486,825,53,41,1522,159,486,825,143,139,1057,1
"132",86,1419,243,28,196,408,976,64,37,1419,196,408,976,140,145,952,1
"133",85,1476,220,32,207,512,913,59,47,1476,207,512,913,154,139,1017,1
"134",77,1307,191,29,158,512,947,55,45,1307,158,512,947,138,148,929,1
"135",81,1399,179,31,80,414,782,83,44,1399,80,414,782,125,139,1109,1
"136",76,1495,215,24,160,522,736,58,34,1495,160,522,736,140,118,1096,1
"137",74,1434,196,18,151,560,810,49,37,1508,159,589,852,164,137,1069,0.950764006791171
"138",76,1506,220,34,207,612,875,85,40,1515,208,616,880,167,143,1045,0.993506493506494
"139",88,1375,202,37,120,571,772,72,44,1375,120,571,772,132,161,1016,1
"140",67,1331,180,28,108,546,764,55,38,1339,109,549,769,176,148,1015,0.994535519125683
"141",70,1309,170,30,82,589,811,74,61,1309,82,589,811,167,151,1027,1
"142",61,1404,218,20,139,537,876,82,53,1404,139,537,876,175,127,1027,1
"143",69,1313,191,39,123,550,874,90,65,1313,123,550,874,153,126,960,1
"144",67,1406,223,28,128,496,828,99,51,1424,130,502,838,185,141,1027,0.98804780876494
"145",82,1360,227,22,145,437,905,73,52,1368,146,440,911,163,157,966,0.993181818181818
"146",76,1354,226,34,98,491,825,150,60,2069,150,750,1261,156,142,996,0.654666666666667
"147",89,1411,215,22,146,554,869,151,77,1411,146,554,869,137,186,1028,1
"148",88,1489,218,45,130,582,847,146,88,1489,130,582,847,137,176,1096,1
"149",80,1338,234,27,111,555,896,140,85,1338,111,555,896,139,153,966,1
"150",66,1359,213,28,126,553,849,72,52,1359,126,553,849,159,197,992,1
"151",72,1356,242,24,139,541,910,94,76,1364,140,544,916,142,182,951,0.994485294117647
"152",69,1410,286,24,153,645,839,136,68,1419,154,649,844,117,171,947,0.993836671802773
"153",55,1335,231,28,97,437,859,96,70,1352,98,442,870,153,140,979,0.98868778280543
"154",65,1376,263,26,162,473,1010,92,55,1376,162,473,1010,158,133,925,1
"155",94,1407,255,30,141,563,906,165,76,1407,141,563,906,138,122,981,1
"156",98,1391,223,48,138,493,924,126,60,1391,138,493,924,109,121,982,1
"157",104,1444,239,29,169,560,946,125,48,1444,169,560,946,108,146,1007,1
"158",97,1465,281,26,195,536,949,68,44,2082,277,762,1349,115,121,963,0.703412073490814
"159",101,1352,236,30,189,585,1050,82,48,1521,213,658,1181,113,127,897,0.889057750759878
"160",96,1514,264,28,197,530,1032,83,43,1514,197,530,1032,130,143,1025,1
"161",101,1490,268,37,174,597,1160,108,58,1490,174,597,1160,114,136,1011,1
"162",106,1489,297,26,215,548,1062,98,43,1489,215,548,1062,91,139,951,1
"163",103,1481,309,23,197,608,962,148,66,1481,197,608,962,111,122,952,1
"164",95,1490,274,26,179,595,1010,148,56,1490,179,595,1010,129,138,1011,1
"165",88,1432,263,24,174,493,1039,85,46,1432,174,493,1039,103,133,971,1
"166",101,1608,321,31,235,545,933,68,22,1608,235,545,933,121,166,1021,1
"167",96,1503,304,37,178,587,1158,86,32,1503,178,587,1158,116,171,984,1
"168",90,1453,308,37,184,534,1084,92,32,1453,184,534,1084,86,170,924,1
"169",79,1510,312,26,222,526,1169,52,35,1510,222,526,1169,99,146,950,1
"170",57,1478,227,78,31,384,454,208,112,1748,37,454,537,465,125,1142,0.845814977973568
"171",93,1494,248,73,35,444,390,163,91,1780,42,529,465,326,145,1138,0.839319470699433
"172",76,1320,193,79,14,316,628,118,95,1538,16,368,732,312,110,1034,0.858695652173913
"173",69,1349,163,56,11,354,649,160,60,1438,12,377,692,285,83,1119,0.938992042440318
"174",83,1353,158,65,22,398,588,240,201,1471,24,433,811,314,87,1108,0.919168591224019
"175",74,1411,164,67,11,394,513,153,91,1504,12,420,471,284,103,1169,0.938095238095238
"176",88,1344,184,55,21,366,625,134,67,1432,22,390,675,253,103,1084,0.938461538461538
"177",66,1243,125,49,11,357,548,147,118,1342,12,386,602,288,116,1058,0.924870466321243
"178",49,1162,138,63,13,437,527,178,168,1222,14,460,541,405,119,948,0.95
"179",48,1270,199,67,18,490,633,133,91,1354,19,522,696,382,111,986,0.938697318007663
"180",56,1328,175,75,20,472,621,185,64,1397,21,497,667,358,134,1058,0.949698189134809
"181",60,1263,190,77,19,482,814,221,112,1337,20,510,862,319,132,977,0.945098039215686
"182",75,1314,196,79,18,448,914,247,200,1391,19,474,968,336,121,1021,0.945147679324895
"183",66,1320,175,68,20,497,805,212,168,1389,21,523,847,353,151,1057,0.950286806883365
"184",83,1328,190,53,15,660,673,246,78,1397,16,694,708,261,126,1070,0.951008645533141
"185",60,1315,193,66,16,426,568,165,71,1383,17,448,598,296,146,1040,0.950892857142857
"186",77,1381,202,53,7,527,451,183,106,1834,9,700,599,252,114,1119,0.752857142857143
"187",78,1438,218,85,36,456,516,86,68,1676,42,531,601,249,114,1099,0.858757062146893
"188",80,1748,295,88,53,452,359,125,84,1851,56,479,380,245,126,1312,0.943632567849687
"189",85,1741,259,112,70,434,428,97,75,1831,74,457,450,236,134,1300,0.949671772428884
"190",98,1781,306,99,103,498,401,139,77,1874,108,524,422,206,166,1273,0.950381679389313
"191",79,1587,264,66,87,471,451,68,58,1691,93,502,481,188,155,1170,0.938247011952191
"192",79,1645,284,66,71,496,372,91,91,1753,76,529,396,188,150,1224,0.937618147448015
"193",65,1524,266,82,76,460,489,65,75,1603,80,484,514,240,176,1100,0.950413223140496
"194",62,1525,277,62,58,469,445,96,70,1615,61,497,471,263,176,1128,0.943661971830986
"195",86,1505,290,80,66,576,504,80,45,1583,69,606,530,194,154,1069,0.95049504950495
"196",67,1489,304,70,79,523,579,98,75,1566,83,550,609,199,160,1036,0.950909090909091
"197",66,1531,302,65,80,513,610,77,84,1611,84,540,642,243,168,1084,0.95
"198",66,1580,288,73,70,533,555,73,65,1662,74,561,584,197,164,1149,0.950089126559715
"199",59,1434,262,69,69,558,597,77,64,1538,74,599,640,161,174,1034,0.931552587646077
"200",71,1510,269,63,66,548,673,46,33,1609,70,584,717,199,171,1112,0.938356164383562
"201",69,1541,310,54,78,632,598,48,27,1642,83,674,637,198,147,1099,0.937685459940653
"202",61,1601,319,70,84,666,668,66,21,1706,90,710,712,200,152,1128,0.938028169014084
"203",48,1655,344,46,75,541,536,32,28,1741,79,569,564,183,175,1190,0.95079086115993
"204",45,1528,255,53,96,588,637,50,40,1607,101,619,670,209,151,1124,0.949919224555735
"205",70,1497,292,61,124,585,675,54,42,1575,130,615,710,166,188,1020,0.951219512195122
"206",74,1515,296,61,96,815,581,53,41,1594,101,857,611,159,164,1062,0.950991831971995
"207",77,1352,244,38,83,606,689,39,46,1441,88,646,734,162,135,987,0.938080495356037
"208",94,1397,235,47,76,559,635,46,35,1470,80,588,668,180,149,1039,0.950680272108844
"209",87,1397,231,40,68,536,595,27,33,1499,73,575,638,153,132,1058,0.932173913043478
"210",69,1420,231,48,88,489,750,24,37,1494,93,514,789,167,165,1053,0.95136186770428
"211",62,1302,199,55,95,613,698,73,52,1370,100,645,734,141,178,953,0.950387596899225
"212",62,1523,266,66,67,612,606,67,47,1613,71,648,642,178,201,1124,0.944444444444444
"213",56,1369,224,32,123,664,736,40,41,1440,129,698,774,174,162,990,0.951289398280802
"214",61,1335,247,45,112,726,783,41,42,1404,118,764,824,206,163,931,0.950261780104712
"215",55,1355,235,49,90,548,729,37,40,1425,95,576,767,180,188,981,0.951388888888889
"216",67,1410,237,48,86,568,757,32,36,1483,90,598,796,163,185,1039,0.949832775919732
"217",57,1377,205,52,55,492,667,32,33,1449,58,518,702,155,160,1065,0.94980694980695
"218",60,1329,186,41,57,589,781,36,48,1398,60,620,822,170,167,1045,0.95
"219",73,1307,208,36,96,592,763,41,44,1375,101,623,803,140,149,967,0.95024077046549
"220",81,1413,204,42,93,537,745,61,37,1506,99,572,794,116,169,1074,0.938811188811189
"221",78,1306,206,20,114,511,774,35,37,1383,121,541,820,121,168,966,0.944547134935305
"222",78,1304,191,24,115,564,726,38,25,1372,121,593,764,155,171,974,0.951096121416526
"223",94,1375,217,35,129,627,843,39,25,1446,136,660,887,113,181,994,0.95
"224",95,1393,227,36,149,581,902,39,30,1393,149,581,902,126,173,981,1
"225",77,1363,225,34,156,516,931,45,32,1363,156,516,931,122,152,948,1
"226",86,1359,207,32,146,469,940,97,34,1359,146,469,940,99,157,974,1
"227",97,1357,229,20,162,537,1019,78,38,1357,162,537,1019,95,159,946,1
"228",94,1299,227,38,125,529,907,67,31,1299,125,529,907,126,152,909,1
"229",98,1444,246,35,177,520,938,56,44,1462,179,527,950,116,144,986,0.986717267552182
"230",76,1320,216,44,139,534,1008,54,37,1328,140,537,1014,125,145,921,0.994413407821229
"231",91,1187,215,28,133,570,1019,78,32,1187,133,570,1019,120,131,811,1
"232",109,1465,234,29,175,634,806,82,45,1465,175,634,806,101,145,1027,1
"233",108,1424,213,25,179,717,952,84,39,1424,179,717,952,117,148,1007,1
"234",104,1417,212,26,162,689,865,68,39,1453,166,706,887,115,152,1017,0.975920679886686
"235",84,1213,203,31,105,533,984,82,43,1276,110,561,1035,105,158,874,0.950089126559715
"236",97,1474,229,48,119,648,752,146,64,1474,119,648,752,119,184,1078,1
"237",91,1418,226,27,116,509,770,145,58,1418,116,509,770,128,174,1049,1
"238",92,1408,228,34,126,591,850,106,56,1435,128,602,866,109,178,1020,0.981727574750831
"239",88,1326,213,28,119,519,883,150,61,1326,119,519,883,118,157,966,1
"240",98,1442,232,25,149,563,951,91,51,1451,150,566,957,107,190,1036,0.99469964664311
"241",91,1406,250,19,155,555,869,75,61,1415,156,558,874,111,167,982,0.994623655913978
"242",104,1427,263,24,184,619,863,101,50,1454,187,631,879,127,164,956,0.980982567353407
"243",100,1523,258,29,156,587,766,111,38,1523,156,587,766,95,178,1080,1
"244",91,1362,255,17,136,623,700,63,52,2101,210,961,1080,105,176,954,0.648283038501561
"245",94,1478,259,27,179,634,796,49,38,1478,179,634,796,101,140,1013,1
"246",98,1492,283,27,168,601,800,61,33,1492,168,601,800,121,159,1014,1
"247",85,1374,234,23,160,620,884,51,36,1374,160,620,884,123,166,957,1
"248",84,1460,235,22,215,608,914,69,43,1469,216,612,920,116,169,988,0.993464052287582
"249",73,1425,223,13,169,563,862,64,34,1425,169,563,862,135,163,1020,1
"250",67,1437,219,20,211,524,939,69,45,1437,211,524,939,109,174,987,1
"251",54,1283,200,20,138,507,874,69,44,1291,139,510,879,119,173,925,0.994117647058824
"252",87,1369,238,33,129,593,957,118,55,1369,129,593,957,87,163,969,1
"253",76,1336,235,22,133,664,968,95,52,1344,134,668,974,92,152,946,0.994011976047904
"254",67,1421,256,29,170,528,974,50,33,1421,170,528,974,89,172,966,1
"255",89,1423,243,36,148,647,827,89,48,1423,148,647,827,93,168,996,1
"256",85,1470,287,24,157,655,930,73,54,1470,157,655,930,100,171,1002,1
"257",91,1514,268,29,201,634,947,100,19,2190,291,917,1370,82,149,1016,0.691384950926936
"258",80,1425,258,30,195,646,903,104,51,1603,219,727,1016,81,159,942,0.888583218707015
"259",88,1557,299,29,257,645,915,76,40,1557,257,645,915,97,173,972,1
"260",98,1498,264,22,196,586,952,63,26,1498,196,586,952,97,148,1016,1
"261",79,1520,303,11,214,593,903,86,48,1520,214,593,903,81,144,992,1
"262",78,1572,299,21,203,615,890,107,46,1572,203,615,890,89,192,1049,1
"263",74,1508,310,22,184,558,900,126,65,1508,184,558,900,116,151,992,1
"264",63,1367,264,24,137,517,995,134,53,1375,138,520,1001,126,138,942,0.994230769230769
"265",67,1353,311,27,165,452,993,110,48,1353,165,452,993,91,173,850,1
"266",78,1614,319,18,169,528,949,101,41,1614,169,528,949,110,161,1108,1
"267",74,1492,296,27,189,447,902,83,37,1492,189,447,902,107,154,980,1
"268",44,1533,221,79,25,664,450,196,73,1881,31,815,552,603,103,1208,0.814723926380368
"269",86,1356,190,79,41,461,816,245,200,1455,44,495,875,260,117,1046,0.931313131313131
"270",79,1344,206,72,43,448,626,196,186,1432,46,477,667,247,119,1023,0.939203354297694
"272",98,2343,344,113,35,116,72,61,29,6778,101,336,208,1059,169,1851,0.345238095238095
"273",42,1187,133,53,9,160,477,398,96,2634,20,355,1059,1083,91,992,0.450704225352113
"274",47,1468,211,83,8,273,559,293,193,2477,14,461,943,1053,83,1166,0.592190889370933
"276",61,1244,184,88,25,415,786,410,201,1849,37,617,1168,623,94,947,0.672609400324149
"277",59,1169,153,63,10,469,746,333,200,1446,12,580,923,648,94,943,0.808620689655172
"278",92,1604,242,120,37,563,401,654,193,1925,44,676,481,659,52,1205,0.832840236686391
"279",67,1263,192,83,22,352,566,385,200,1493,26,416,669,545,107,966,0.846153846153846
"280",84,1451,186,82,24,502,643,373,201,1741,29,602,772,643,104,1159,0.833887043189369
"281",85,1460,170,119,36,661,664,410,96,1752,43,793,797,604,109,1135,0.833543505674653
"282",51,1479,176,122,33,550,529,250,171,1630,36,606,583,644,83,1148,0.907590759075908
"283",75,1596,204,107,34,669,403,290,171,1989,42,834,502,479,102,1251,0.802158273381295
"284",113,2084,343,190,42,653,253,410,200,2638,53,826,320,371,145,1509,0.790556900726392
"285",108,1907,293,111,31,442,303,386,193,2376,39,551,378,359,101,1472,0.802177858439201
"286",113,1944,260,126,29,485,252,554,201,2441,36,609,316,372,101,1529,0.796387520525452
"287",112,1974,303,82,24,545,319,500,200,2460,30,679,398,345,97,1565,0.802650957290133
"288",104,1722,167,84,13,564,344,272,200,1872,14,613,374,354,108,1458,0.920065252854812
"289",94,1652,223,78,19,458,419,398,201,1808,21,501,459,337,105,1332,0.914171656686627
"290",88,1445,234,70,34,512,620,160,118,1520,36,539,652,272,110,1107,0.949907235621521
"291",49,1299,206,56,38,494,674,135,95,1366,40,520,709,287,147,999,0.95
"297",94,1612,218,124,44,394,336,187,163,1920,52,469,400,392,124,1226,0.840085287846482
"298",91,1603,231,112,50,325,443,156,152,1896,59,384,524,302,119,1210,0.846354166666667
"299",107,1568,261,133,56,308,659,166,168,1841,66,362,774,276,101,1118,0.850828729281768
"300",100,1361,204,110,27,365,600,106,143,1432,28,384,631,248,87,1020,0.950520833333333
"301",83,1257,176,74,31,518,697,140,91,1340,33,552,807,309,80,976,0.938405797101449
"302",52,1287,168,79,14,313,673,104,87,1354,15,329,741,350,88,1026,0.951367781155015
"303",64,1331,167,52,20,332,625,136,126,1447,22,361,515,292,112,1092,0.919667590027701
"304",79,1303,123,93,15,304,570,176,97,1371,16,320,642,311,75,1072,0.95
"305",94,1402,162,74,21,373,514,231,163,1504,23,400,654,312,102,1145,0.9325
"306",86,1429,185,92,46,455,530,205,112,1513,49,482,586,326,85,1106,0.943983402489627
"307",83,1460,215,70,37,536,565,201,186,1546,39,568,703,341,98,1138,0.943661971830986
"308",112,1496,287,90,31,602,295,197,112,1594,33,642,374,284,94,1088,0.937694704049844
"309",85,1441,238,109,18,503,577,204,171,1556,19,543,623,257,91,1076,0.926335174953959
"310",96,1353,239,90,19,519,581,187,186,1433,20,550,615,256,105,1005,0.943636363636364
"311",108,1403,217,82,15,565,511,127,126,1505,16,606,548,242,102,1089,0.932343234323432
"312",96,1311,207,59,15,488,507,136,96,1379,16,513,533,193,114,1030,0.951267056530214
"313",96,1325,211,68,15,497,504,112,69,1412,16,530,537,195,124,1031,0.937735849056604
"314",96,1273,204,69,19,522,417,141,67,1637,24,671,536,195,114,981,0.777943368107303
"315",78,1405,214,58,39,557,486,128,57,1661,46,659,575,169,140,1094,0.845220030349014
"316",76,1479,229,75,23,564,454,104,118,1566,24,597,481,194,139,1152,0.944723618090452
"317",79,1515,261,73,18,450,362,87,68,1594,19,473,381,165,159,1163,0.951374207188161
"318",65,1443,270,58,36,417,512,82,97,1538,38,444,546,247,134,1079,0.939189189189189
"319",50,1465,274,68,44,547,450,45,60,1561,47,583,480,282,160,1079,0.938250428816467
"320",49,1403,264,57,34,492,476,51,54,1486,36,521,504,193,151,1048,0.944337811900192
"321",54,1418,285,82,29,452,480,86,48,1492,31,475,505,234,170,1022,0.951578947368421
"322",60,1436,275,66,40,412,542,105,68,1520,42,436,574,182,147,1055,0.944954128440367
